Vgas,Ang,ID,Vgas2,Vwater
1,0.0025,2.5,5,2.5
0,0.0025,2.5,2,2.5
290,2.47488,1.03249,5,1.03249
270,1.60468,0.047591,1,0.047591
359,0.4,16,4,16
355,2.5,0.4,5,0.4
280,0.609542,0.0626874,4,0.0626874
20,0.0964255,2.55763,5,2.55763
0.25,0.16,2.5,5,2.5
350,0.25,0.016,3,0.016
20,4.10412,0.617865,1,0.617865
330,1.62852,0.615006,3,0.615006
50,0.002409,2.44549,5,2.44549
310,0.00252548,14.3301,4,14.3301
80,0.00930572,0.626522,5,0.626522
310,0.107582,0.0378552,5,0.0378552
15,1.63789,2.41456,5,2.41456
10,2.5,0.4,5,0.4
15,0.0494171,23.9628,4,23.9628
5,1,6.3,5,6.3
10,4,1.6,5,1.6
2,0.0025,0.63,5,0.63
350,0.4,4,3,4
350,0.4,0.1,3,0.1
5,1.6,0.63,5,0.63
15,0.00910298,0.239628,5,0.239628
270,2.36449,6.82144,5,6.82144
85,0.01,16.1413,4,16.1413
90,0.928743,2.48451,5,2.48451
70,0.015941,6.5518,5,6.5518
0,0.01,25,4,25
0.25,4,0.4,1,0.4
0,4,0.1,1,0.1
310,0.64497,0.0365174,5,0.0365174
2,0.0025,0.1,5,0.1
0.25,4,2.5,5,2.5
70,0.00387323,0.154014,5,0.154014
20,0.0376482,0.0620737,5,0.0620737
270,0.961978,6.71988,5,6.71988
85,0.0154779,15.4649,4,15.4649
70,0.0981482,0.151897,5,0.151897
359,0.04,25,4,25
355,1.6,0.063,3,0.063
0.25,0.063,6.3,3,6.3
70,0.0231571,16.0359,4,16.0359
0,0.025,1,2,1
1,0.1,0.4,5,0.4
270,0.391374,0.0490404,4,0.0490404
355,0.025,25,4,25
15,0.00390694,25.0807,4,25.0807
5,0.0025,4,5,4
310,0.159746,6.04296,5,6.04296
290,2.43897,25.9711,5,25.9711
280,0.971259,0.0243315,5,0.0243315
30,0.420572,0.0832667,5,0.0832667
2,0.01,2.5,5,2.5
20,0.985213,0.98093,5,0.98093
5,0.16,6.3,5,6.3
0,0.1,25,4,25
80,0.222667,26.1836,4,26.1836
310,1.04998,0.0237137,5,0.0237137
290,0.00996353,16.3574,3,16.3574
80,0.147221,15.3733,4,15.3733
350,2.5,0.04,1,0.04
1,0.0025,1,5,1
10,4,0.63,1,0.63
30,2.49865,2.58873,5,2.58873
359,1.6,6.3,5,6.3
20,0.388632,0.155559,5,0.155559
270,0.594854,17.2896,4,17.2896
359,0.1,16,4,16
2,0.025,10,3,10
0.25,0.025,25,4,25
330,0.631206,0.0154231,3,0.0154231
1,1,2.5,5,2.5
0.25,0.016,2.5,3,2.5
70,0.562816,0.392557,5,0.392557
20,0.0374161,0.152807,5,0.152807
10,1,0.16,5,0.16
10,0.4,0.63,5,0.63
290,0.0401569,15.9746,3,15.9746
15,0.00238534,10.2306,5,10.2306
85,0.635344,0.244094,5,0.244094
290,4.03152,1.57772,1,1.57772
330,0.00953877,16.2486,3,16.2486
1,0.04,16,4,16
70,0.431711,15.2882,5,15.2882
350,2.5,1.6,3,1.6
280,0.00244034,24.5134,3,24.5134
0.5,0.25,25,4,25
30,1.0143,0.203,5,0.203
0.25,4,0.1,1,0.1
0,0.0025,6.3,3,6.3
10,0.0025,0.25,5,0.25
0.25,2.5,1,5,1
85,0.0239221,9.81767,5,9.81767
5,4,10,5,10
2,1.6,0.025,5,0.025
5,1,4,5,4
290,0.38989,26.1413,4,26.1413
30,1.54513,0.0224206,1,0.0224206
0.25,2.5,0.63,5,0.63
20,0.627403,15.3065,5,15.3065
85,1.15255,10.529,5,10.529
90,0.00222292,0.158639,5,0.158639
359,0.0016,1,2,1
0.5,0.16,10,4,10
0.25,0.063,25,4,25
2,0.0025,10,3,10
0.25,0.01,16,3,16
2,1.6,0.63,5,0.63
15,0.0754312,2.41456,5,2.41456
15,3.31442,0.885512,1,0.885512
80,0.00567422,4.12668,5,4.12668
70,0.0945867,0.92708,5,0.92708
270,0.57669,1.7683,4,1.7683
270,0.632917,6.42418,4,6.42418
85,0.00647036,6.07484,5,6.07484
355,1.6,2.5,5,2.5
0,0.25,4,5,4
85,0.00243264,16.4848,4,16.4848
90,0.39011,2.56167,5,2.56167
10,2.5,16,5,16
355,0.25,6.3,3,6.3
280,0.411625,0.238776,3,0.238776
350,0.004,25,3,25
70,2.53472,14.9006,5,14.9006
310,0.428869,0.0237137,5,0.0237137
90,0.375162,24.9615,5,24.9615
30,0.110851,0.0232125,5,0.0232125
0.25,0.01,1,5,1
90,0.00242394,24.929,4,24.929
310,1.08959,3.78552,5,3.78552
270,4.00584,4.09617,1,4.09617
0,0.01,6.3,3,6.3
350,1.6,10,5,10
5,0.01,0.025,5,0.025
10,4,2.5,5,2.5
1,1.6,1,5,1
80,0.0152614,0.15836,5,0.15836
350,0.25,16,4,16
0.5,0.25,10,4,10
0.5,2.5,1,5,1
350,0.63,4,3,4
10,2.5,0.63,5,0.63
310,0.257078,0.0237137,5,0.0237137
5,0.16,25,4,25
359,0.4,25,4,25
